City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ancud,64,CL,1554195600,95,-41.8682,-73.8288,50.46,3.71
Grindavik,0,IS,1554195600,100,63.8424,-22.4338,33.27,22.28
Atuona,64,PF,1554195600,99,-9.8,-139.0334,82.6,12.44
Viedma,48,AR,1554195600,36,-40.8086,-62.9947,72.16,13.56
Sabang,12,PH,1554195600,73,13.7234,123.5828,82.69,9.53
Thongwa,0,MM,1554195600,55,16.7608,96.5237,97.29,7.4
Torbay,20,CA,1554195600,95,47.6577,-52.727,29.76,25.41
Tvoroyri,0,FO,1554195600,100,61.5556,-6.8111,40.92,11.21
Castro,80,CL,1554195600,97,-42.4824,-73.7644,52.62,4.72
Hobart,24,AU,1554195600,58,-42.8826,147.3281,55.95,5.28
Isangel,64,VU,1554195600,100,-19.55,169.2667,82.13,14.67
Yerbogachen,80,RU,1554195600,58,61.2767,108.0108,33.55,11.54
Trairi,56,BR,1554195600,100,-3.278,-39.2679,79.63,5.95
Souillac,24,FR,1554195600,80,45.6006,-0.6,57.52,9.75
Hithadhoo,0,MV,1554195600,100,-0.6,73.0833,84.4,9.86
High Prairie,32,CA,1554195600,82,55.4325,-116.4837,25.81,3.15
Upernavik,0,GL,1554195600,96,72.7868,-56.1549,5.92,7.29
Kruisfontein,20,ZA,1554195600,78,-34.0034,24.7314,61.45,4.16
Lazaro Cardenas,8,MX,1554195600,65,28.3905,-105.6235,50.14,2.37
Bartoszyce,0,PL,1554195600,60,54.2524,20.8144,45.88,17.02
Madridejos,12,ES,1554195600,87,39.4697,-3.5355,57.76,4.5
Sao Joao da Barra,0,BR,1554195600,100,-21.6403,-41.0512,75.4,9.53
Kungurtug,64,RU,1554195600,49,50.5987,97.5254,44.26,4.27
Kapaa,24,US,1554195600,100,22.0752,-159.319,66.65,6.96
Saint-Philippe,36,CA,1554195600,78,45.3584,-73.4791,27.14,9.19
Hermanus,0,ZA,1554195600,51,-34.4176,19.2361,76.71,9.53
Berlevag,88,NO,1554195600,100,70.8578,29.0864,30.75,15.68
Mweka,24,CD,1554195600,67,-4.8477,21.5612,88.09,3.94
Kodiak,56,US,1554195600,63,39.9519,-94.7572,41.52,11.65
Rikitea,12,PF,1554195600,100,-23.1203,-134.9692,75.94,13.44
Foumban,36,CM,1554195600,29,5.7282,10.8972,86.38,3.38
Chokurdakh,56,RU,1554195600,78,70.6192,147.9022,7.09,10.31
Mount Isa,0,AU,1554195600,41,-20.729,139.4932,82.81,11.99
Kaeo,20,NZ,1554195600,76,-35.1018,173.7751,58.02,10.2
Georgetown,0,GY,1554195600,84,6.8026,-58.1629,73.32,4.61
Arraial do Cabo,44,BR,1554195600,100,-22.9663,-42.0245,71.98,2.71
Yellowknife,20,CA,1554195600,74,62.4541,-114.3774,5.55,15.01
Mujiayingzi,0,CN,1554195600,33,42.1167,118.7833,42.73,7.96
Kaitangata,92,NZ,1554195600,68,-46.2818,169.8464,51.18,7.07
Eston,64,CA,1554195600,66,51.1494,-108.7531,32.28,10.87
Salvador,88,BR,1554195600,100,-12.9823,-38.4813,79.81,14.23
Great Bend,32,US,1554195600,64,38.3622,-98.7804,38.28,4.38
Ahipara,12,NZ,1554195600,95,-35.1665,173.1562,61.27,11.77
Manjeshwar,0,IN,1554195600,74,12.7194,74.8861,90.51,13
Karratha,0,AU,1554195600,20,-20.7371,116.8479,99.52,9.31
Cuiaba,24,BR,1554195600,92,-15.5962,-56.0967,75.76,3.15
Carnarvon,0,ZA,1554195600,33,-30.9678,22.1333,63.34,8.08
Pearl,0,US,1554195600,84,32.2746,-90.1321,43.57,5.73
New Norfolk,20,AU,1554195600,84,-42.7802,147.0615,49.89,3.27
Sitka,20,US,1554195600,74,37.175,-99.6516,35.71,2.59
Kedrovyy,48,RU,1554195600,50,56.1667,91.8167,49.64,9.64
Wamba,8,CD,1554195600,75,2.1435,27.9939,83.32,2.93
Tierralta,92,CO,1554195600,93,8.1717,-76.0594,76.84,5.95
Lebu,8,ET,1554195600,36,8.9611,38.7254,75.7,8.63
Tasiilaq,88,GL,1554195600,100,65.6145,-37.6368,25.2,10.42
Kita,0,JP,1554195600,55,35.7558,139.7367,46.26,11.77
Libreville,44,GA,1554195600,100,0.39,9.454,81.6,4.16
Westport,68,IE,1554195600,97,53.8001,-9.5203,42.36,18.7
Camden,24,US,1554195600,54,39.9448,-75.1199,26.89,3.94
Gamba,44,CN,1554195600,76,28.2785,88.5182,24.55,5.17
Fortuna,20,ES,1554195600,100,38.1801,-1.126,58.91,3.83
Nabire,88,ID,1554195600,96,-3.3597,135.505,69.46,1.92
Nanortalik,88,GL,1554195600,94,60.1432,-45.2372,33.73,36.15
Tura,92,IN,1554195600,100,25.5174,90.2067,69.01,3.6
Manzhouli,12,CN,1554195600,15,49.6,117.4333,46.51,12.88
Planaltina,64,BR,1554195600,90,-15.6182,-47.6556,64.95,2.59
Seoul,32,KR,1554195600,33,37.5667,126.9783,48.25,9.75
Am Timan,0,TD,1554195600,15,11.0396,20.2826,96.91,11.99
Sao Filipe,36,CV,1554195600,100,14.8961,-24.4956,69.91,13.11
Lima,76,PE,1554195600,89,-12.0622,-77.0366,67.15,0.92
Luderitz,0,NA,1554195600,89,-26.6481,15.1594,61.99,10.87
Kuvshinovo,44,RU,1554195600,63,57.0315,34.1797,41.38,9.19
Cobija,36,BR,1554195600,93,-11.0232,-68.7656,76.21,2.15
Anjozorobe,8,MG,1554195600,69,-18.4006,47.8822,84.87,2.93
Dikson,68,RU,1554195600,100,73.5069,80.5464,24.01,26.42
Rongcheng,0,CN,1554195600,35,37.1614,122.4178,52.89,3.6
Smithers,0,CA,1554195600,69,54.783,-127.1703,23.91,1.81
Serafimovich,24,RU,1554195600,47,49.5806,42.7302,55.05,10.09
Mikuni,76,JP,1554195600,91,36.2171,136.1519,43.14,8.97
Jalu,0,LY,1554195600,42,29.0331,21.5482,72.61,9.64
Otradnoye,0,RU,1554195600,84,59.7727,30.802,41.83,9.86
Kankon,0,IN,1554195600,100,15.0167,74.0167,88.11,10.87
Richards Bay,92,ZA,1554195600,96,-28.7745,32.0555,64.96,10.42
Pisco,24,PE,1554195600,94,-13.71,-76.203,65.05,1.7
Lompoc,56,US,1554195600,100,34.6392,-120.458,53.83,3.15
Ardrossan,32,GB,1554195600,100,55.6472,-4.8115,41.1,6.4
Sain Alto,8,MX,1554195600,31,23.5833,-103.25,43.99,6.96
Pombia,64,IT,1554195600,40,45.6508,8.6323,66.07,5.5
Longyearbyen,24,NO,1554195600,99,78.2198,15.6349,15.4,2.37
Obo,12,CF,1554195600,100,5.3941,26.4927,83.68,5.73
Langsa,64,ID,1554195600,69,4.4731,97.9682,83.23,2.93
Port Alfred,64,ZA,1554195600,91,-33.5906,26.891,66.4,2.93
Sokoni,0,CD,1554195600,70,-12.8902,28.7793,80.17,5.06
Saint-Louis,20,CH,1554195600,66,47.586,7.5616,59.2,3.15
Harper,0,US,1554195600,57,30.2999,-99.2443,41.37,9.86
Nuuk,92,GL,1554195600,92,64.175,-51.7356,42.85,13
Kokstad,80,ZA,1554195600,77,-30.5476,29.4244,57.49,3.38
Thompson,80,CA,1554195600,63,55.7433,-97.8635,19.95,10.54
Pulandian,0,CN,1554195600,16,39.4007,121.9642,50.37,17.69
Saskylakh,76,RU,1554195600,93,71.965,114.0939,31.39,10.76
Tiksi,0,RU,1554195600,71,71.6366,128.8685,19.06,2.93
Wanning,56,AT,1554195600,77,48.6402,13.529,54.1,3.15
Tenenkou,0,ML,1554195600,35,14.4583,-4.9148,87.73,15.68
Mombetsu,8,JP,1554195600,100,44.3525,143.3525,27.72,0.58
Rawson,0,AR,1554195600,37,-43.2992,-65.1057,68.29,24.52
Lerwick,88,GB,1554195600,100,60.1545,-1.1495,41.37,7.52
Norman Wells,48,CA,1554195600,81,65.2824,-126.8328,14.88,5.84
Avarua,20,CK,1554195600,100,-21.2078,-159.775,80.97,16.8
Kerman,92,IR,1554195600,36,30.2924,57.0647,67.24,9.64
Tuy Hoa,36,VN,1554195600,81,13.0833,109.3,81.7,8.97
Jackson,0,US,1554195600,63,35.6144,-88.8178,38.98,2.71
Cape Town,0,ZA,1554195600,82,-33.929,18.4174,66.63,22.5
Bayshore Gardens,88,US,1554195600,100,27.4253,-82.5904,66.66,4.38
Dindori,0,IN,1554195600,20,22.9447,81.0775,95.56,12.21
Port Hedland,0,AU,1554195600,38,-20.3112,118.5801,91.77,11.21
Severo-Kurilsk,76,RU,1554195600,100,50.6789,156.125,30.58,10.76
Sumkino,0,RU,1554195600,72,58.1108,68.3244,38.23,10.2
Barrow,0,AR,1554195600,82,-38.3131,-60.2291,69.46,14.9
Hilo,64,US,1554195600,100,19.7072,-155.0817,73.23,5.39
Hualmay,76,PE,1554195600,96,-11.0968,-77.613,64.87,1.92
Pevek,24,RU,1554195600,72,69.7028,170.2747,24.64,19.04
Ampanihy,0,MG,1554195600,48,-24.6942,44.7477,87.01,4.83
Cherskiy,92,RU,1554195600,79,68.75,161.3,28.78,5.17
Yumen,12,CN,1554195600,23,40.2917,97.0449,61.54,9.19
Iqaluit,36,CA,1554195600,66,63.7494,-68.5219,-3.19,11.99
Mar del Plata,0,AR,1554195600,52,-46.4276,-67.5191,61.63,25.41
Poste de Flacq,80,MU,1554195600,84,-20.1631,57.7306,82.87,7.18
Virginia Beach,44,US,1554195600,82,36.853,-75.9775,40.05,8.41
Grand Gaube,68,MU,1554195600,100,-20.0064,57.6608,85.57,6.62
Nepa Nagar,0,IN,1554195600,21,21.4667,76.4,102.67,5.73
Guerrero Negro,8,MX,1554195600,89,27.971,-114.0364,51.91,2.93
Pacific Grove,80,US,1554195600,100,36.6174,-121.9156,52.79,2.37
Haines Junction,0,CA,1554195600,77,60.7527,-137.5101,14.92,1.81
Ixtapa,0,MX,1554195600,90,20.715,-105.2067,65.91,2.15
Bathsheba,56,BB,1554195600,100,13.2167,-59.5167,77.64,18.03
Menongue,0,AO,1554195600,26,-14.6611,17.682,87.55,4.94
Margate,12,AU,1554195600,95,-43.0274,147.2623,51.93,3.38
East London,68,ZA,1554195600,100,-33.0153,27.9116,65.13,2.48
Anamur,0,TR,1554195600,89,36.0751,32.8369,61.2,7.63
Ilulissat,64,GL,1554195600,74,69.2167,-51.1,18.93,4.27
Dhrol,0,IN,1554195600,61,22.5676,70.4164,89.8,8.3
Yar-Sale,44,RU,1554195600,92,66.8333,70.8333,26.53,15.68
Bay Roberts,56,CA,1554195600,75,47.5759,-53.2834,30.29,23.06
Angoche,24,MZ,1554195600,100,-16.2293,39.9081,80.53,10.09
Porto Novo,44,BR,1554195600,100,-23.6775,-45.4418,62.33,2.93
Lae,88,PG,1554195600,96,-6.7221,146.9847,77.59,1.48
Pangoa,80,PE,1554195600,97,-12.1167,-73,64.6,1.59
Agadez,0,NE,1554195600,18,16.9726,7.9907,96.22,10.65
Dudinka,36,RU,1554195600,91,69.4061,86.1751,25.81,12.33
Zwedru,80,LR,1554195600,100,6.0687,-8.1343,74.95,4.38
Saint-Joseph,88,FR,1554195600,42,43.5562,6.9715,61.02,1.14
Rio Gallegos,20,AR,1554195600,84,-51.6227,-69.2182,52.7,34.69
Talnakh,20,RU,1554195600,83,69.494,88.3908,24.91,6.62
Katsuura,92,JP,1554195600,81,33.9258,134.505,48.63,7.74
Robertsport,76,LR,1554195600,100,6.7526,-11.367,78.37,5.5
Makat,92,KZ,1554195600,97,47.6469,53.3463,46.33,22.06
Qaanaaq,0,GL,1554195600,78,77.484,-69.3633,-8.49,10.42
Aginskoye,0,RU,1554195600,22,51.1072,114.5443,52.81,15.35
Savasleyka,0,RU,1554195600,54,55.4573,42.3187,45.16,6.85
Tessalit,0,ML,1554195600,24,20.2009,1.014,83.77,9.98
Skjervoy,92,NO,1554195600,100,70.0311,20.9714,31.47,2.71
Victoria,0,BN,1554195600,95,5.2785,115.2423,86.99,13.11
Bumba,68,CD,1554195600,86,2.1837,22.4665,81.07,3.94
Kahului,48,US,1554195600,99,20.8894,-156.4728,69.27,5.39
Padang,92,ID,1554195600,100,-0.9248,100.3633,82.83,3.71
Broome,48,GB,1554195600,74,52.4688,1.4544,51.26,7.52
Paamiut,92,GL,1554195600,79,61.994,-49.6678,37.33,56.51
Nikolskoye,0,RU,1554195600,84,59.7035,30.7861,42.03,9.86
Flin Flon,32,CA,1554195600,58,54.7698,-101.879,22.12,12.21
Poya,68,NC,1554195600,98,-21.3464,165.1591,78.91,12.33
Codrington,88,AU,1554195600,94,-28.9484,153.2428,63.96,5.06
Alto Araguaia,24,BR,1554195600,80,-17.3157,-53.217,70.27,1.14
Marfino,8,RU,1554195600,78,56.0719,37.5614,43.61,7.52
Mama,0,MX,1554195600,79,20.4768,-89.3649,74.4,1.92
Port Hardy,0,CA,1554195600,77,50.6996,-127.4199,42.45,2.37
Hasaki,24,JP,1554195600,100,35.7333,140.8333,51.75,19.82
Wilson,48,US,1554195600,65,35.7213,-77.9156,34.35,6.51
Geraldton,12,CA,1554195600,77,49.7189,-86.9494,26.55,7.63
Mahibadhoo,0,MV,1554195600,100,3.7833,72.9667,83.59,4.5
Yunhe,88,CN,1554195600,71,28.1188,119.5688,57.76,2.26
Juanjui,8,PE,1554195600,94,-7.1779,-76.7314,70.9,1.59
Laguna,8,MX,1554195600,74,27.5185,-110.0074,57.49,2.48
Mersing,64,MY,1554195600,87,2.4276,103.8364,84.31,6.62
Kamaishi,8,JP,1554195600,63,39.2793,141.864,34.8,13.11
Emerald,32,AU,1554195600,41,-23.5264,148.1619,78.63,10.09
Hanna,0,CA,1554195600,66,51.6429,-111.927,28.77,6.62
Oranjemund,0,ZA,1554195600,90,-28.552,16.4284,59.11,12.77
Kawalu,92,ID,1554195600,91,-7.3817,108.2082,71.53,2.71
Dunmore Town,0,BS,1554195600,100,25.5,-76.6501,75.22,10.76
Ouro Preto do Oeste,44,BR,1554195600,87,-10.7481,-62.2159,74.41,2.15
Bosaso,0,SO,1554195600,82,11.2785,49.18,90.25,3.94
Kaseda,68,JP,1554195600,100,31.4167,130.3167,59.1,19.71
Imbituba,8,BR,1554195600,96,-28.24,-48.6703,73.77,12.21
Flinders,0,AU,1554195600,82,-34.581,150.846,63.64,4.5
Spirit River,92,CA,1554195600,71,55.7775,-118.8377,30.63,3.6
General Roca,0,AR,1554195600,50,-39.0267,-67.5755,70.56,15.23
Kudahuvadhoo,0,MV,1554195600,100,2.6708,72.8944,83.23,6.4
Nakhon Phanom,44,LA,1554195600,82,17.3957,104.7879,84.88,4.61
Gemena,88,CD,1554195600,83,3.2549,19.7751,78.19,2.93
Solok,32,ID,1554195600,72,-0.7923,100.6573,84.02,4.5
Yangjiang,0,CN,1554195600,96,21.8526,111.9594,74.49,16.35
Okhotsk,56,RU,1554195600,78,59.3644,143.2411,28.69,2.71
Vila Franca do Campo,76,PT,1554195600,100,37.7167,-25.4334,59.19,25.19
Kodinsk,36,RU,1554195600,44,58.5963,99.1829,40.57,7.85
Ilhabela,0,BR,1554195600,100,-23.7781,-45.3581,75.13,5.73
Koumac,68,NC,1554195600,94,-20.5614,164.2812,75.76,4.72
Buala,92,SB,1554195600,100,-8.1456,159.593,78.37,6.17
Elko,92,US,1554195600,68,40.8324,-115.7632,40.01,3.49
Suntar,68,RU,1554195600,84,62.1575,117.6463,36.52,9.31
Beringovskiy,92,RU,1554195600,95,63.05,179.3167,29.23,8.75
Touros,76,BR,1554195600,100,-5.1989,-35.4609,75.48,6.96
Jumla,0,NP,1554195600,65,29.2754,82.1825,45.34,1.48
Ribeira Grande,32,PT,1554195600,100,38.5167,-28.7001,58.92,21.5
Ostrovnoy,0,RU,1554195600,90,68.0544,39.5129,27.43,13.78
Luoyang,80,CN,1554195600,33,34.6557,112.421,65.86,6.06
Nazarovo,44,RU,1554195600,58,56.0116,90.4185,48.22,14.23
Barcelos,0,PT,1554195600,77,41.5314,-8.6193,59.27,1.92
Yulara,0,AU,1554195600,10,-25.2411,130.9869,83.19,5.17
Digby,0,CA,1554195600,86,44.6194,-65.7586,32.73,11.77
Cabo San Lucas,20,MX,1554195600,100,22.8938,-109.9112,70.08,6.62
Cayenne,20,GF,1554195600,83,4.9371,-52.3259,78.63,7.52
Tuktoyaktuk,64,CA,1554195600,83,69.444,-133.032,11.68,18.14
Zhigansk,36,RU,1554195600,69,66.7656,123.3741,31.84,7.29
Kibre Mengist,0,ET,1554195600,28,5.873,38.995,82.69,5.17
Arlit,0,NE,1554195600,39,18.7391,7.3933,88.63,4.72
Te Anau,0,NZ,1554195600,93,-45.4145,167.7175,36.34,2.59
Vao,24,EE,1554195600,75,59.1018,26.1904,37.51,7.63
Zhezkazgan,8,KZ,1554195600,76,47.8043,67.7144,55.81,13.78
Bogorodskoye,56,RU,1554195600,62,52.371,140.4412,28.69,2.59
Mathbaria,12,BD,1554195600,53,22.2876,89.9593,91.96,12.77
Balkanabat,8,TM,1554195600,74,39.5089,54.3631,53.98,8.41
Doha,88,QA,1554195600,49,25.2856,51.5264,79.08,8.97
Ayagoz,20,KZ,1554195600,61,47.9649,80.4301,57.31,4.38
Caravelas,0,BR,1554195600,100,-17.7297,-39.2661,80.26,6.29
Naze,0,NG,1554195600,91,5.4333,7.0667,85.84,7.63
Ankang,92,CN,1554195600,93,32.733,108.9904,47.68,2.15
Beboto,32,TD,1554195600,52,8.2668,16.939,88.81,6.85
Kasongo,48,CD,1554195600,54,-4.427,26.6662,87.55,3.15
Pangkalanbuun,56,ID,1554195600,95,-2.6834,111.6167,79.18,5.73
Praia da Vitoria,80,PT,1554195600,100,38.7333,-27.0667,58.47,23.29
Torrington,56,US,1554195600,78,42.0625,-104.1844,27.79,2.93
Itupiranga,76,BR,1554195600,99,-5.1338,-49.3322,75.97,4.38
Necochea,36,AR,1554195600,84,-38.5473,-58.7368,68.56,13.33
Kailua,0,US,1554195600,90,21.3936,-157.7438,67.02,5.39
Yerofey Pavlovich,8,RU,1554195600,27,53.9667,121.9667,41.29,7.18
Kurchum,0,KZ,1554195600,78,48.5722,83.6542,59.92,3.94
Mackay,0,CA,1554195600,78,53.65,-115.5834,26.43,3.27
Bethel,32,US,1554195600,76,60.7922,-161.7559,31.56,4.16
Agadir,80,MA,1554195600,74,30.4211,-9.5831,60.21,3.49
Tautira,80,PF,1554195600,100,-17.7334,-149.15,82.41,1.36
Blythe,48,US,1554195600,39,33.6135,-114.5938,61.47,3.27
Bani Walid,12,LY,1554195600,60,31.757,13.9951,65.05,17.25
Lagoa,12,PT,1554195600,74,37.1363,-8.4541,64.06,4.16
Faanui,76,PF,1554195600,97,-16.4834,-151.75,85.84,8.19
Potchefstroom,0,ZA,1554195600,59,-26.7078,27.0958,71.89,13.22
Lazdijai,0,LT,1554195600,64,54.2348,23.5113,54.97,9.98
Teahupoo,80,PF,1554195600,100,-17.8334,-149.2667,82.41,1.36
Neftcala,0,AZ,1554195600,100,39.3742,49.2472,56.95,2.59
Novyy Urgal,20,RU,1554195600,57,51.0736,132.5642,32.56,7.4
Deputatskiy,0,RU,1554195600,70,69.3,139.9,11.86,5.39
Korem,0,ET,1554195600,51,12.5075,39.5223,76.75,3.38
Crestview,24,US,1554195600,100,30.7621,-86.5706,53.43,3.49
Pringsewu,64,ID,1554195600,71,-5.3555,104.9774,83.86,3.71
Balabac,44,PH,1554195600,98,7.9868,117.0645,83.86,8.19
Bonavista,20,CA,1554195600,89,48.6542,-53.1104,29.94,30.56
Osmena,0,PH,1554195600,71,12.1709,124.5883,82.6,11.21
Provideniya,32,RU,1554195600,96,64.4238,-173.2276,25,9.31
Nioro,0,GM,1554195600,37,13.7912,-15.0495,82.6,17.02
Nosy Varika,8,MG,1554195600,76,-20.5834,48.5333,87.46,4.38
Andra,36,RU,1554195600,80,62.516,65.8862,32.47,14.79
Daru,76,SL,1554195600,87,7.9915,-10.846,80.62,4.16
Jodhpur,0,IN,1554195600,21,26.2968,73.0351,101.5,6.06
Pasighat,92,IN,1554195600,99,28.0594,95.3326,57.13,1.92
Ballina,20,IE,1554195600,97,54.1143,-9.1533,41.82,15.79
Ahuimanu,0,US,1554195600,90,21.4447,-157.8378,67.02,5.39
Muroto,20,JP,1554195600,100,33.3739,134.1415,55.2,6.73
Rayadrug,8,IN,1554195600,31,14.7,76.8667,97.99,4.72
Wajima,92,JP,1554195600,91,37.4,136.9,41.55,10.98
Mahebourg,80,MU,1554195600,84,-20.4081,57.7,83.3,7.18
Airai,68,TL,1554195600,76,-8.9266,125.4092,76.03,1.59
Chimore,100,BO,1554195600,95,-16.9834,-65.1334,73.24,2.71
Mayo,0,CA,1554195600,67,63.5927,-135.8962,20.13,2.37
Calvia,36,ES,1554195600,91,39.5657,2.5062,59.28,10.2
Cidreira,8,BR,1554195600,94,-30.1658,-50.2184,66.13,5.61
Edd,12,ER,1554195600,50,13.9297,41.6925,87.91,2.48
Arman,88,RU,1554195600,80,59.7,150.1667,29.86,5.73
Shu,0,KZ,1554195600,46,43.5983,73.7614,61.18,5.73
Santa catarina de Tepehuanes,0,MX,1554195600,78,25.3409,-105.7233,36.25,2.37
Smidovich,24,RU,1554195600,28,48.5957,133.8138,40.66,7.96
Bambanglipuro,92,ID,1554195600,85,-7.95,110.2833,79.9,4.38
Orlik,0,RU,1554195600,61,52.5132,99.827,35.35,4.72
Ngunguru,20,NZ,1554195600,100,-35.6167,174.5,65.76,17.81
Vorukh,12,KG,1554195600,93,39.8531,70.5669,35.71,1.7
Gat,0,SN,1554195600,60,14.6934,-16.5351,73.17,16.69
Luwuk,80,ID,1554195600,100,-0.9504,122.7886,78.64,2.59
Saint-Augustin,0,FR,1554195600,73,44.8323,-0.6091,63.21,8.08
Camacha,80,PT,1554195600,100,33.0833,-16.3334,58.65,3.27
Dano,0,BF,1554195600,41,11.1436,-3.0638,91.06,11.54
Mangrol,0,IN,1554195600,22,25.3307,76.512,106.05,7.07
Jiujiang,100,CN,1554195600,100,29.7275,115.9913,53.8,13.67
Annau,12,TM,1554195600,44,37.8876,58.516,73.62,13.78
Port Elizabeth,24,US,1554195600,64,39.3134,-74.9811,28.98,4.38
Clyde River,44,CA,1554195600,71,70.4692,-68.5915,-0.05,4.94
Chuy,32,UY,1554195600,94,-33.6938,-53.4562,64.6,6.17
Tongchuan,88,CN,1554195600,48,34.9035,108.9462,65.16,2.26
Tavares,56,BR,1554195600,91,-7.6365,-37.8787,64.51,2.71
Ibra,0,OM,1554195600,37,22.6896,58.547,91.42,3.83
Adrar,24,DZ,1554195600,33,27.8734,-0.2875,76.89,11.54
Tilichiki,76,RU,1554195600,90,60.4667,166.1,33.64,11.65
Kiama,0,AU,1554195600,82,-34.6719,150.8554,63.61,4.5
Kavaratti,8,IN,1554195600,100,10.5669,72.642,83.14,8.63
Guerande,92,FR,1554195600,80,48.4706,-4.167,49.02,18.14
Chabahar,20,IR,1554195600,72,25.2933,60.6471,83.5,6.73
Buraydah,0,SA,1554195600,16,26.3317,43.9717,86.86,14.79
Gizo,12,IL,1554195600,91,31.8041,34.9381,64.96,5.39
Kutum,0,SD,1554195600,19,14.2031,24.6617,83.86,10.76
Nyazepetrovsk,92,RU,1554195600,80,56.0555,59.5986,41.02,3.71
Constitucion,0,MX,1554195600,66,23.9912,-104.675,46.94,4.94
Okakarara,32,NA,1554195600,82,-20.5904,17.4582,71.89,4.72
Sovetsk,0,RU,1554195600,66,55.078,21.8913,47.05,9.98
Nome,8,US,1554195600,91,30.0358,-94.4244,36.64,3.49
Lavrentiya,48,RU,1554195600,86,65.5842,-170.989,21.94,6.17
Chara,0,GR,1554195600,36,39.4167,22.4309,71.38,7.63
Hofn,0,IS,1554195600,100,64.2539,-15.2082,35.71,29.89
Sabha,0,LY,1554195600,62,27.0332,14.4317,67.39,7.4
Todos Santos,48,MX,1554195600,100,23.4501,-110.2254,65.67,6.17
Tommot,56,RU,1554195600,56,58.9685,126.2669,31.39,2.48
San Quintin,80,PH,1554195600,89,17.5427,120.5203,73.51,2.82
Rorvik,44,NO,1554195600,98,64.8621,11.2373,40.03,7.74
Kemlya,0,RU,1554195600,92,54.6942,45.2439,37.06,10.54
Port Lincoln,0,AU,1554195600,68,-34.7212,135.8592,70.18,10.54
Jiwani,0,PK,1554195600,38,25.05,61.7417,95.65,10.54
Dingle,8,PH,1554195600,61,11.0001,122.6718,84.49,12.55
Gornopravdinsk,0,RU,1554195600,68,60.0603,69.9229,36.61,13.11
Glencoe,80,ZA,1554195600,86,-28.1739,30.1647,59.83,3.6
Basco,20,US,1554195600,69,40.3278,-91.2002,36.54,10.42
Kautokeino,12,NO,1554195600,79,69.0125,23.0412,32.38,5.39
Marsh Harbour,0,BS,1554195600,100,26.5383,-77.0611,73.78,10.76
Healesville,0,AU,1554195600,73,-37.6538,145.5162,66.69,3.71
Skibbereen,8,IE,1554195600,94,51.55,-9.2667,45.33,17.02
Erzin,24,TR,1554195600,92,36.9536,36.2023,63.43,3.94
General Cepeda,0,MX,1554195600,82,25.3791,-101.4762,40.14,2.71
Bubaque,0,GW,1554195600,100,11.2833,-15.8334,78.64,13.78
Huilong,92,CN,1554195600,95,28.8896,110.183,57.04,4.94
Tatarbunary,0,UA,1554195600,59,45.8401,29.6167,48.94,18.25
Skibotn,92,NO,1554195600,100,69.3913,20.2679,34.88,2.04
Durban,48,FR,1554195600,79,43.5384,0.5783,57.43,5.95
